"probe","importance","gene"
"201466_s_at",0.159327583411231,"JUN"
"201779_s_at",0.110946950152543,"RNF13"
"213281_at",0.0944190369605567,"213281_at"
"212225_at",0.0840973115773116,"EIF1"
"202708_s_at",0.0812884335587784,"H2BC21"
"200730_s_at",0.070161710957708,"PTP4A1"
"211610_at",0.0682925564631447,"KLF6"
"208734_x_at",0.0682249809014515,"RAB2A"
"201464_x_at",0.0642845680381149,"JUN"
"202081_at",0.0631018701645418,"IER2"
"205214_at",0.0611015477783429,"STK17B"
"209257_s_at",0.0608531074872758,"SMC3"
"201880_at",0.0605118945868946,"ARIH1"
"214397_at",0.0522426993059487,"MBD2"
"200797_s_at",0.051946170922301,"MCL1"
"201285_at",0.051349956600647,"MKRN1"
"201236_s_at",0.0511065758679102,"BTG2"
"218560_s_at",0.05098243565008,"JMJD4"
"212971_at",0.0507951938094959,"CARS1"
"216979_at",0.0493201800562951,"NR4A3"
"209630_s_at",0.0476259301706953,"FBXW2"
"221965_at",0.0475429767940738,""
"218486_at",0.0469935786435786,"KLF11"
"215354_s_at",0.0469598620660385,"PELP1"
"211375_s_at",0.0460918131983976,"ILF3"
"222265_at",0.0448586720637912,"TNS4"
"217783_s_at",0.0446768732175266,"YPEL5"
"211998_at",0.0445863890132856,"H3-3B"
"200049_at",0.0445675519574725,"KAT7"
"208988_at",0.0428566144000927,"KDM2A"
